OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY
230421,EL ERMITAÃ‘O 1,TRANSMISION DE DERECHOS,VIGENTE,"MINERA PIEDRA AZUL, S.A. DE C.V.","MINERA EVRIM, S.A. DE C.V.",24/08/2007,23/08/2057,,
230465,MAYEN,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,CRISANTO SAMANIEGO VALENCIA,JOSE QUIROS SOTO,04/09/2007,03/09/2057,,
230505,LEONCITO FRACC. I,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,"COMPAÑIA MINERA LA PITAHAYA, S. A. DE C. V.","MINERA HALCONES, S.A. DE C.V.",11/09/2007,10/09/2057,,
230506,LEONCITO FRACC. II,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,"COMPAÑIA MINERA LA PITAHAYA, S. A. DE C. V.","MINERA HALCONES, S.A. DE C.V.",11/09/2007,10/09/2057,,
230513,SANTO NIÃ‘O,,CANCELADO,,,11/09/2007,10/09/2057,,
230553,PICACHO FRACC. I,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,"COMPAÑIA MINERA LA ESCUADRA, S.A.","CORPORACION AMERMIN, S.A. DE C.V.",20/09/2007,19/09/2057,,
230554,PICACHO FRACC. II,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,"COMPAÑIA MINERA LA ESCUADRA, S.A.","CORPORACION AMERMIN, S.A. DE C.V.",20/09/2007,19/09/2057,,
230555,PICACHO FRACC. III,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,"COMPAÑIA MINERA LA ESCUADRA, S.A.","CORPORACION AMERMIN, S.A. DE C.V.",20/09/2007,19/09/2057,,
230556,PERLA,EN TRAMITE,VIGENTE,OMAR GUERRERO NAVARRO,"OPERACION DE PROCESOS DE EXPLOTACION, S.A. DE C.V.",20/09/2007,19/09/2057,,
230557,ERIKA,EN TRAMITE,VIGENTE,JAVIER CAMARGO MORENO,"OPERACION DE PROCESOS DE EXPLOTACION, S.A. DE C.V.",20/09/2007,19/09/2057,,
230617,LOS FIELES 2,,CANCELADO,,,25/09/2007,24/09/2057,,
230780,LA FORTUNA,,CANCELADO,,,12/10/2007,11/10/2057,,
230802,LEONCITO,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,"COMPAÑIA MINERA LA PITAHAYA, S. A. DE C. V.","MINERA HALCONES, S.A. DE C.V.",17/10/2007,16/10/2057,,
230868,LEON,,CANCELADO,,,26/10/2007,25/10/2057,,
230869,LEON,,CANCELADO,,,26/10/2007,25/10/2057,,
230870,LEONCITO 2,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,"COMPAÑIA MINERA LA PITAHAYA, S. A. DE C. V.","MINERA HALCONES, S.A. DE C.V.",26/10/2007,25/10/2057,,
230897,VALDE,RECONOCIMIENTO DE ADEUDO CON GARANTIA HIPOTECARIA,VIGENTE,"MINERA GATEWAY, S.A. DE C.V.",SUSANA ALICIA TREJO RUBIO,26/10/2007,25/10/2057,,
230949,EL DIQUE,,CANCELADO,,,16/11/2007,15/11/2057,,
230988,EL BUENO,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,JULIO CESAR GONZALEZ ZAMORA,"MINERA FB INTEGRAL, S.A. DE C.V.",22/11/2007,21/11/2057,,
231817,ANA 1 CENTRO,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,EMILIO ACUÑA PERALTA,"MINERA VERMILLION, S.A. DE C.V.",25/04/2008,10/01/2055,,
231818,ANA 1 SE,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,EMILIO ACUÑA PERALTA,"MINERA VERMILLION, S.A. DE C.V.",25/04/2008,10/01/2055,,
231819,ANA 1 NE,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,EMILIO ACUÑA PERALTA,"MINERA VERMILLION, S.A. DE C.V.",25/04/2008,10/01/2055,,
231820,ANA 1 NW,CONTRATO DE EXPLORACIÓN,VIGENTE,EMILIO ACUÑA PERALTA,"PAGET SOUTHERN RESOURCES, S. DE R.L. DE C.V. AHORA RECURSOS MILLROCK, S. DE R.L. DE C.V.",25/04/2008,10/01/2055,,
231815,LOS CHINOS,EXCLUSION DE CONCESIÓNES A UN CONTRATO,CANCELADO,"MINERA GEOINFORMATICA, S.A. DE C.V. AHORA MINERA EVRIM, S.A. DE C.V.","MINERA PIEDRA AZUL, S.A. DE C.V.",25/04/2008,27/02/2057,,
231145,GRECIA,,VIGENTE,,,18/01/2008,17/01/2058,,
231151,MEZTLI 3,CONTRATO DE EXPLORACIÓN,VIGENTE,"EXPLORACIONES GLOBAL, S.A. DE C.V.","COMPAÑIA MINERA PEÑA DE BERNAL, S.A. DE C.V.",18/01/2008,17/01/2058,,
231230,SAN MIGUEL FRACC. I,,CANCELADO,,,25/01/2008,24/01/2058,,
231231,SAN MIGUEL FRACC. II,,CANCELADO,,,25/01/2008,24/01/2058,,
231389,EL BUENO,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,JULIO CESAR GONZALEZ ZAMORA,"MINERA FB INTEGRAL, S.A. DE C.V.",15/02/2008,14/02/2058,,
231414,AGUA NUEVA-I,CESIÃ“N DE DERECHOS TOTAL ONEROSA,VIGENTE,JULIO CESAR GONZALEZ ZAMORA,"MINERA CASCABEL, S.A. DE C.V.",26/02/2008,25/02/2058,,
231417,TORTOLA,,CANCELADO,,,26/02/2008,25/02/2058,,
231419,LA CENTELLA,,VIGENTE,,,26/02/2008,25/02/2058,,
231460,TORTOLA,,CANCELADO,,,28/02/2008,27/02/2058,,
231469,CANANEA,CONTRATO DE EXPLOTACIÃ“N,VIGENTE,"BUENAVISTA DEL COBRE, S.A. DE C.V.","OPERADORA DE MINAS E INSTALACIONES MINERAS, S.A. DE C.V.",28/02/2008,27/02/2058,,
231502,LA VIRGEN 2,,CANCELADO,,,04/03/2008,03/03/2058,,
231507,LA SUERTUDA,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,CARLOS BERNARDO BETANCOURT MURILLO,"MINERA MEXITAL,S.A. DE C.V.",04/03/2008,03/03/2058,,
231598,MARIA ELENA,,CANCELADO,,,19/03/2008,18/03/2058,,
231952,REAL DE CANANEA,CONTRATO DE TRANSMISIÃ“N DE LA TITULARIDAD,VIGENTE,MARIO CAMPOS PONCE,"MINERA ZAMPANO, S. DE R.L. DE C.V.",23/05/2008,22/05/2058,,
231953,REAL DE CANANEA,CONTRATO DE TRANSMISIÃ“N DE LA TITULARIDAD,VIGENTE,MARIO CAMPOS PONCE,"MINERA ZAMPANO, S. DE R.L. DE C.V.",23/05/2008,22/05/2058,,
231954,REAL DE CANANEA,CONTRATO DE TRANSMISIÃ“N DE LA TITULARIDAD,VIGENTE,MARIO CAMPOS PONCE,"MINERA ZAMPANO, S. DE R.L. DE C.V.",23/05/2008,22/05/2058,,
231955,REAL DE CANANEA,CONTRATO DE TRANSMISIÃ“N DE LA TITULARIDAD,VIGENTE,MARIO CAMPOS PONCE,"MINERA ZAMPANO, S. DE R.L. DE C.V.",23/05/2008,22/05/2058,,
231956,REAL DE CANANEA,CONTRATO DE TRANSMISIÃ“N DE LA TITULARIDAD,VIGENTE,MARIO CAMPOS PONCE,"MINERA ZAMPANO, S. DE R.L. DE C.V.",23/05/2008,22/05/2058,,
231959,LA PURICA,,VIGENTE,,,23/05/2008,22/05/2058,,
231983,CANDELARIA,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,CRISANTO SAMANIEGO VALENCIA,JOSE QUIROS SOTO,28/05/2008,27/05/2058,,
232000,LUCERO,CONTRATO DE TRANSMISIÃ“N DE LA TITULARIDAD,VIGENTE,GUILLERMINA VILLAESCUSA CORDOVA,"MINERA AURICUP, S. DE R.L. DE C.V.",03/06/2008,02/06/2058,,
232056,SIERRA PINTA,CONTRATO DE TRANSMISIÃ“N DE LA TITULARIDAD,VIGENTE,MOISES CORDOVA VINDIOLA,"MINERA AURICUP, S. DE R.L. DE C.V.",10/06/2008,09/06/2058,,
232057,SIERRA PINTA III,CONTRATO DE TRANSMISIÃ“N DE LA TITULARIDAD,VIGENTE,MOISES CORDOVA VINDIOLA,"MINERA AURICUP, S. DE R.L. DE C.V.",10/06/2008,09/06/2058,,
232058,LA TORTUGA,,CANCELADO,,,10/06/2008,09/06/2058,,
232059,LA TORTUGA,,CANCELADO,,,10/06/2008,09/06/2058,,
232060,LA TORTUGA,,CANCELADO,,,10/06/2008,09/06/2058,,
232061,LA TORTUGA,,CANCELADO,,,10/06/2008,09/06/2058,,
232062,LA TORTUGA,,CANCELADO,,,10/06/2008,09/06/2058,,
232066,LA TORTUGA,,CANCELADO,,,10/06/2008,09/06/2058,,
232067,LA TORTUGA,,CANCELADO,,,10/06/2008,09/06/2058,,
232068,LA TORTUGA,,CANCELADO,,,10/06/2008,09/06/2058,,
232069,LA TORTUGA,,CANCELADO,,,10/06/2008,09/06/2058,,
232070,LA TORTUGA,,CANCELADO,,,10/06/2008,09/06/2058,,
232071,LA TORTUGA,,CANCELADO,,,10/06/2008,09/06/2058,,
232072,LA TORTUGA,,CANCELADO,,,10/06/2008,09/06/2058,,
232231,MARIA 54,PERMUTA,VIGENTE,"MINERA TECK, S.A. DE C.V.","BUENAVISTA DEL COBRE, S.A. DE C.V.",08/07/2008,07/07/2058,,
232232,MARIA 55,PERMUTA,VIGENTE,"MINERA TECK, S.A. DE C.V.","BUENAVISTA DEL COBRE, S.A. DE C.V.",08/07/2008,07/07/2058,,
232271,EL MILAGRO,,VIGENTE,,,16/07/2008,15/07/2058,,
232272,MURUCUTACHI II,CESIÃ“N DE DERECHOS PARCIAL ONEROSA,VIGENTE,JOSE DAVID BUZANI BELTRAN,ROBERTO FRANCISCO AVILA QUIROGA,16/07/2008,15/07/2058,,
232303,LA ESCONDIDA,,CANCELADO,,,18/07/2008,17/07/2058,,
232304,LA ESTRELLA,,CANCELADO,,,18/07/2008,17/07/2058,,
232305,EL TORO,,CANCELADO,,,18/07/2008,17/07/2058,,
232450,6 HERMANOS 7,,CANCELADO,,,08/08/2008,07/08/2058,,
232452,BETHEL 2,SE OTORGA PLAZO,VIGENTE,ARTURO GONZALEZ CASTRO,ELICEO ACOSTA GOMEZ,08/08/2008,07/08/2058,,
232453,EL AS,,VIGENTE,,,08/08/2008,07/08/2058,,
232498,LA VIUDA,,CANCELADO,,,19/08/2008,18/08/2058,,
232855,MARK 3,TRANSMISION DE DERECHOS,VIGENTE,"MINERA PIEDRA AZUL, S.A. DE C.V.","MINERA EVRIM, S.A. DE C.V.",30/10/2008,29/10/2058,,
232856,MARK 2,TRANSMISION DE DERECHOS,VIGENTE,"MINERA PIEDRA AZUL, S.A. DE C.V.","MINERA EVRIM, S.A. DE C.V.",30/10/2008,29/10/2058,,
232857,MARK 1,TRANSMISION DE DERECHOS,VIGENTE,"MINERA PIEDRA AZUL, S.A. DE C.V.","MINERA EVRIM, S.A. DE C.V.",30/10/2008,29/10/2058,,
232858,MARK 1 FRACCION 1,TRANSMISION DE DERECHOS,VIGENTE,"MINERA PIEDRA AZUL, S.A. DE C.V.","MINERA EVRIM, S.A. DE C.V.",30/10/2008,29/10/2058,,
232859,LA VIUDA - 1,,VIGENTE,,,30/10/2008,29/10/2058,,
232865,EL PARAJE,,VIGENTE,,,30/10/2008,29/10/2058,,
232998,CAROLINA PAULINA,,VIGENTE,,,27/11/2008,26/11/2058,,
232999,CAROLINA PAULINA,,VIGENTE,,,27/11/2008,26/11/2058,,
233003,EL TAPON,,CANCELADO,,,27/11/2008,26/11/2058,,
233034,LUIS,,CANCELADO,,,28/11/2008,27/11/2058,,
233102,LA VIRGEN MHM,CONT. DE EXPLORACION CON PROMESA DE VENTA,VIGENTE,"MINERA HOCHSCHILD MEXICO, S.A. DE C.V.","IMPULSORA MINERA SANTACRUZ, S.A. DE C.V.",10/12/2008,09/12/2058,,
233134,LOS 3 AMIGOS,SE OTORGA PLAZO,VIGENTE,FERNANDO MONTAÑO MONTAÑO,JOSE QUIROS SOTO,12/12/2008,11/12/2058,,
233135,PITAGORAS,,CANCELADO,,,12/12/2008,11/12/2058,,
233201,LA COMPAÑIA,,VIGENTE,,,18/12/2008,17/12/2058,,
233202,LA COLORADA,,VIGENTE,,,18/12/2008,17/12/2058,,
234888,SIERRA PINTA IV FRACC 1,CONTRATO DE TRANSMISIÃ“N DE LA TITULARIDAD,VIGENTE,GUILLERMINA VILLAESCUSA CORDOVA,"MINERA AURICUP, S. DE R.L. DE C.V.",08/09/2009,09/06/2058,,
234889,SIERRA PINTA V,CONTRATO DE TRANSMISIÃ“N DE LA TITULARIDAD,VIGENTE,GUILLERMINA VILLAESCUSA CORDOVA,"MINERA AURICUP, S. DE R.L. DE C.V.",08/09/2009,18/08/2058,,
234890,SIERRA PINTA IV FRACC 2,CONTRATO DE TRANSMISIÃ“N DE LA TITULARIDAD,VIGENTE,GUILLERMINA VILLAESCUSA CORDOVA,"MINERA AURICUP, S. DE R.L. DE C.V.",08/09/2009,09/06/2058,,
233214,ONTARIO,,CANCELADO,,,13/01/2009,12/01/2059,,
233223,CERRO PRIETO DE CANANEA,,VIGENTE,,,13/01/2009,12/01/2059,,
233224,ZAMORATO,,CANCELADO,,,13/01/2009,12/01/2059,,
233225,ZAMORATO 3,,CANCELADO,,,13/01/2009,12/01/2059,,
233226,ZAMORATO 2,,CANCELADO,,,13/01/2009,12/01/2059,,
233279,LA MOCHA,,CANCELADO,,,21/01/2009,20/01/2059,,
233358,SAN MIGUEL,CESIÓN DE DERECHOS TOTAL ONEROSA,CANCELADO,HECTOR GAMEZ TREVIZO,GERALD LAWRENCE PENTLAND SALCIDO,17/02/2009,16/02/2059,,
233418,LUISES,SE OTORGA PLAZO,VIGENTE,LUIS FERNANDO RAMOS MENDOZA,FRANCISCO JAVIER DURAZO RIOS,24/02/2009,23/02/2059,,
233419,LUISES,SE OTORGA PLAZO,VIGENTE,LUIS FERNANDO RAMOS MENDOZA,FRANCISCO JAVIER DURAZO RIOS,24/02/2009,23/02/2059,,
233420,LUISES,SE OTORGA PLAZO,VIGENTE,LUIS FERNANDO RAMOS MENDOZA,FRANCISCO JAVIER DURAZO RIOS,24/02/2009,23/02/2059,,
